id,name,path,Proportional,Serif,Slanted,Decorative
0,OrangeKid-Regular,fonts/assorted/orangekid-r.otf,proportional,sans,upright,decorative
1,Courier New,fonts/assorted/courier-r.ttf,monospaced,serif,upright,normal
2,IM FELL DW Pica PRO Roman,fonts/assorted/fell_dwpica-r.otf,proportional,serif,upright,normal
3,IM FELL DW Pica PRO Italic,fonts/assorted/fell_dwpica-i.otf,proportional,serif,slanted,normal
4,Consolas,fonts/assorted/consolas-r.ttf,monospaced,sans,upright,normal
5,Comic Sans MS,fonts/assorted/comicsans-r.ttf,proportional,sans,upright,normal
6,Times New Roman,fonts/assorted/times-r.ttf,proportional,serif,upright,normal
7,Times New Roman Italic,fonts/assorted/times-i.ttf,proportional,serif,slanted,normal
8,Helvetica Neue LT Pro 55 Roman,fonts/assorted/HelveticaNeueLTPro-Roman.otf,proportional,sans,upright,normal
9,Gill Sans MT Italic,fonts/assorted/gillsans-i.TTF,proportional,sans,slanted,normal
10,Arial,fonts/assorted/arial-r.ttf,proportional,sans,upright,normal
11,Consolas Italic,fonts/assorted/consolas-i.ttf,monospaced,sans,slanted,normal
12,Plagwitz,fonts/assorted/plagwitz-r.otf,proportional,sans,upright,decorative
13,Petit Formal Script,fonts/assorted/petitformal-s.ttf,proportional,sans,slanted,decorative
14,Museo Sans 500,fonts/assorted/museosans-r.otf,proportional,sans,upright,normal
15,Museo Slab 500,fonts/assorted/museoslab-r.otf,proportional,serif,upright,normal
16,Gill Sans MT,fonts/assorted/gillsans-r.TTF,proportional,sans,upright,normal
