,Font id,Font,Point size,WER,CER,txt
0,0,OrangeKid-Regular,16,1.0,0.5677210056772101,assorted/txt/00.16.txt
1,0,OrangeKid-Regular,32,0.20725388601036268,0.0420032310177706,assorted/txt/00.32.txt
2,1,Courier New,16,0.8426395939086294,0.45336577453365773,assorted/txt/01.16.txt
3,1,Courier New,32,0.7614213197969543,0.6003223207091055,assorted/txt/01.32.txt
4,2,IM FELL DW Pica PRO Roman,16,0.8697916666666666,0.5417680454176804,assorted/txt/02.16.txt
5,2,IM FELL DW Pica PRO Roman,32,0.08854166666666667,0.013787510137875101,assorted/txt/02.32.txt
6,3,IM FELL DW Pica PRO Italic,16,0.96875,0.7250608272506083,assorted/txt/03.16.txt
7,3,IM FELL DW Pica PRO Italic,32,0.7291666666666666,0.30434782608695654,assorted/txt/03.32.txt
8,4,Consolas,16,0.49743589743589745,0.14841849148418493,assorted/txt/04.16.txt
9,4,Consolas,32,0.026041666666666668,0.0040551500405515,assorted/txt/04.32.txt
10,5,Comic Sans MS,16,0.5051546391752577,0.17761557177615572,assorted/txt/05.16.txt
11,5,Comic Sans MS,32,0.24479166666666666,0.06671899529042387,assorted/txt/05.32.txt
12,6,Times New Roman,16,0.6620370370370371,0.2984590429845904,assorted/txt/06.16.txt
13,6,Times New Roman,32,0.04639175257731959,0.008084074373484237,assorted/txt/06.32.txt
14,7,Times New Roman Italic,16,0.9114583333333334,0.5604217356042174,assorted/txt/07.16.txt
15,7,Times New Roman Italic,32,0.057291666666666664,0.010543390105433901,assorted/txt/07.32.txt
16,8,Helvetica Neue LT Pro 55 Roman,16,0.671875,0.2935928629359286,assorted/txt/08.16.txt
17,8,Helvetica Neue LT Pro 55 Roman,32,0.026041666666666668,0.004862236628849271,assorted/txt/08.32.txt
18,9,Gill Sans MT Italic,16,0.7760416666666666,0.3381995133819951,assorted/txt/09.16.txt
19,9,Gill Sans MT Italic,32,0.05670103092783505,0.013776337115072933,assorted/txt/09.32.txt
20,10,Arial,16,0.6979166666666666,0.2778675282714055,assorted/txt/10.16.txt
21,10,Arial,32,0.08333333333333333,0.01539708265802269,assorted/txt/10.32.txt
22,11,Consolas Italic,16,0.817258883248731,0.275750202757502,assorted/txt/11.16.txt
23,11,Consolas Italic,32,0.2552083333333333,0.046228710462287104,assorted/txt/11.32.txt
24,12,Plagwitz,16,1.0,0.813463098134631,assorted/txt/12.16.txt
25,12,Plagwitz,32,0.8802083333333334,0.4069675376088678,assorted/txt/12.32.txt
26,13,Petit Formal Script,16,1.0,0.8807785888077859,assorted/txt/13.16.txt
27,13,Petit Formal Script,32,0.8072916666666666,0.4212055192447349,assorted/txt/13.32.txt
28,14,Museo Sans 500,16,0.609375,0.21735604217356042,assorted/txt/14.16.txt
29,14,Museo Sans 500,32,0.057291666666666664,0.0072992700729927005,assorted/txt/14.32.txt
30,15,Museo Slab 500,16,0.6354166666666666,0.19101123595505617,assorted/txt/15.16.txt
31,15,Museo Slab 500,32,0.020833333333333332,0.004858299595141701,assorted/txt/15.32.txt
32,16,Gill Sans MT,16,0.75,0.34306569343065696,assorted/txt/16.16.txt
33,16,Gill Sans MT,32,0.026041666666666668,0.005668016194331984,assorted/txt/16.32.txt
