id,name,path
0,Helvetica Neue LT Pro 57 Condensed,fonts/helvetica/HelveticaNeueLTPro-Cn.otf
1,Helvetica Neue LT Pro 65 Medium,fonts/helvetica/HelveticaNeueLTPro-Md.otf
2,Helvetica Neue LT Pro 55 Roman,fonts/helvetica/HelveticaNeueLTPro-Roman.otf
3,Helvetica Neue LT Pro 23 Ultra Light Extended,fonts/helvetica/HelveticaNeueLTPro-UltLtEx.otf
4,Helvetica Neue LT Pro 45 Light,fonts/helvetica/HelveticaNeueLTPro-Lt.otf
5,Helvetica Neue LT Pro 33 Thin Extended,fonts/helvetica/HelveticaNeueLTPro-ThEx.otf
6,Helvetica Neue LT Pro 97 Black Condensed,fonts/helvetica/HelveticaNeueLTPro-BlkCn.otf
7,Helvetica Neue LT Pro 37 Thin Condensed,fonts/helvetica/HelveticaNeueLTPro-ThCn.otf
8,Helvetica Neue LT Pro 63 Medium Extended,fonts/helvetica/HelveticaNeueLTPro-MdEx.otf
9,Helvetica Neue LT Pro 95 Black,fonts/helvetica/HelveticaNeueLTPro-Blk.otf
10,Helvetica Neue LT Pro 35 Thin,fonts/helvetica/HelveticaNeueLTPro-Th.otf
11,Helvetica Neue LT Pro 67 Medium Condensed,fonts/helvetica/HelveticaNeueLTPro-MdCn.otf
12,Helvetica Neue LT Pro 43 Light Extended,fonts/helvetica/HelveticaNeueLTPro-LtEx.otf
13,Helvetica Neue LT Pro 53 Extended,fonts/helvetica/HelveticaNeueLTPro-Ex.otf
14,Helvetica Neue LT Pro 27 Ultra Light Condensed,fonts/helvetica/HelveticaNeueLTPro-UltLtCn.otf
15,Helvetica Neue LT Pro 25 Ultra Light,fonts/helvetica/HelveticaNeueLTPro-UltLt.otf
16,Helvetica Neue LT Pro 93 Black Extended,fonts/helvetica/HelveticaNeueLTPro-BlkEx.otf
17,Helvetica Neue LT Pro 47 Light Condensed,fonts/helvetica/HelveticaNeueLTPro-LtCn.otf
