,Font,Point size,WER,CER,txt,Weight,Width
0,Helvetica Neue LT Pro 57 Condensed,10,1.0,0.8304947283049473,helvetica/txt/00.10.txt,5,7
1,Helvetica Neue LT Pro 57 Condensed,16,0.7395833333333334,0.327140549273021,helvetica/txt/00.16.txt,5,7
2,Helvetica Neue LT Pro 57 Condensed,22,0.13541666666666666,0.024311183144246355,helvetica/txt/00.22.txt,5,7
3,Helvetica Neue LT Pro 57 Condensed,28,0.08333333333333333,0.010543390105433901,helvetica/txt/00.28.txt,5,7
4,Helvetica Neue LT Pro 65 Medium,10,0.9739583333333334,0.7445255474452555,helvetica/txt/01.10.txt,6,5
5,Helvetica Neue LT Pro 65 Medium,16,0.5360824742268041,0.17437145174371452,helvetica/txt/01.16.txt,6,5
6,Helvetica Neue LT Pro 65 Medium,22,0.03125,0.006477732793522267,helvetica/txt/01.22.txt,6,5
7,Helvetica Neue LT Pro 65 Medium,28,0.052083333333333336,0.0072992700729927005,helvetica/txt/01.28.txt,6,5
8,Helvetica Neue LT Pro 55 Roman,10,0.96875,0.7607461476074615,helvetica/txt/02.10.txt,5,5
9,Helvetica Neue LT Pro 55 Roman,16,0.671875,0.2935928629359286,helvetica/txt/02.16.txt,5,5
10,Helvetica Neue LT Pro 55 Roman,22,0.5364583333333334,0.17179902755267423,helvetica/txt/02.22.txt,5,5
11,Helvetica Neue LT Pro 55 Roman,28,0.036458333333333336,0.006482982171799027,helvetica/txt/02.28.txt,5,5
12,Helvetica Neue LT Pro 23 Ultra Light Extended,10,1.0,1.0,helvetica/txt/03.10.txt,2,3
13,Helvetica Neue LT Pro 23 Ultra Light Extended,16,1.0,1.0,helvetica/txt/03.16.txt,2,3
14,Helvetica Neue LT Pro 23 Ultra Light Extended,22,1.0,1.0,helvetica/txt/03.22.txt,2,3
15,Helvetica Neue LT Pro 23 Ultra Light Extended,28,1.0,1.0,helvetica/txt/03.28.txt,2,3
16,Helvetica Neue LT Pro 45 Light,10,1.0,0.9870235198702352,helvetica/txt/04.10.txt,4,5
17,Helvetica Neue LT Pro 45 Light,16,0.6458333333333334,0.30170316301703165,helvetica/txt/04.16.txt,4,5
18,Helvetica Neue LT Pro 45 Light,22,0.2552083333333333,0.05753646677471637,helvetica/txt/04.22.txt,4,5
19,Helvetica Neue LT Pro 45 Light,28,0.6145833333333334,0.18569131832797428,helvetica/txt/04.28.txt,4,5
